timestamp,switch,in_port,out_port,src_mac,dst_mac,action,notes
2025-11-12T18:00:47.118598+00:00,1,25,2,40:f3:08:ff:1e:da,44:65:0d:56:cc:d3,forward,
2025-11-12T18:00:47.129895+00:00,1,13,2,ec:1a:59:83:28:11,44:65:0d:56:cc:d3,forward,
2025-11-12T18:00:48.740115+00:00,1,13,2,ec:1a:59:83:28:11,44:65:0d:56:cc:d3,forward,
2025-11-12T18:00:48.759055+00:00,1,2,13,44:65:0d:56:cc:d3,ec:1a:59:83:28:11,forward,
2025-11-12T18:00:51.752483+00:00,1,10,2,ec:1a:59:79:f4:89,44:65:0d:56:cc:d3,forward,
2025-11-12T18:00:51.765394+00:00,1,10,2,ec:1a:59:79:f4:89,44:65:0d:56:cc:d3,forward,
2025-11-12T18:00:53.337829+00:00,1,2,10,44:65:0d:56:cc:d3,ec:1a:59:79:f4:89,forward,
2025-11-12T18:00:53.353764+00:00,1,10,2,ec:1a:59:79:f4:89,44:65:0d:56:cc:d3,forward,
2025-11-12T18:00:56.599291+00:00,1,17,2,74:6a:89:00:2e:25,44:65:0d:56:cc:d3,forward,
2025-11-12T18:00:56.615758+00:00,1,17,2,74:6a:89:00:2e:25,44:65:0d:56:cc:d3,forward,
2025-11-12T18:00:58.171336+00:00,1,17,2,74:6a:89:00:2e:25,44:65:0d:56:cc:d3,forward,
2025-11-12T18:00:58.191134+00:00,1,6,2,30:8c:fb:2f:e4:b2,44:65:0d:56:cc:d3,forward,
2025-11-12T18:00:59.743718+00:00,1,6,2,30:8c:fb:2f:e4:b2,44:65:0d:56:cc:d3,forward,
2025-11-12T18:00:59.755622+00:00,1,2,6,44:65:0d:56:cc:d3,30:8c:fb:2f:e4:b2,forward,
2025-11-12T18:01:02.253277+00:00,1,31,2,14:cc:20:51:33:ea,44:65:0d:56:cc:d3,forward,
2025-11-12T18:01:03.916375+00:00,1,2,31,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,forward,
2025-11-12T18:01:07.165345+00:00,1,22,2,70:5a:0f:e4:9b:c0,44:65:0d:56:cc:d3,forward,
2025-11-12T18:01:07.175909+00:00,1,22,2,70:5a:0f:e4:9b:c0,44:65:0d:56:cc:d3,forward,
2025-11-12T18:01:07.877855+00:00,1,22,2,70:5a:0f:e4:9b:c0,44:65:0d:56:cc:d3,forward,
2025-11-12T18:01:07.885273+00:00,1,12,2,74:c6:3b:29:d7:1d,44:65:0d:56:cc:d3,forward,
2025-11-12T18:01:08.700307+00:00,1,2,12,44:65:0d:56:cc:d3,74:c6:3b:29:d7:1d,forward,
2025-11-12T18:01:11.789415+00:00,1,8,2,e8:ab:fa:19:de:4f,44:65:0d:56:cc:d3,forward,
2025-11-12T18:01:11.803337+00:00,1,8,2,e8:ab:fa:19:de:4f,44:65:0d:56:cc:d3,forward,
2025-11-12T18:01:13.354032+00:00,1,8,2,e8:ab:fa:19:de:4f,44:65:0d:56:cc:d3,forward,
2025-11-12T18:01:14.910185+00:00,1,7,2,00:62:6e:51:27:2e,44:65:0d:56:cc:d3,forward,
2025-11-12T18:01:14.922017+00:00,1,7,2,00:62:6e:51:27:2e,44:65:0d:56:cc:d3,forward,
2025-11-12T18:01:16.892773+00:00,1,7,2,00:62:6e:51:27:2e,44:65:0d:56:cc:d3,forward,
2025-11-12T18:10:47.445967+00:00,1,1,31,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,forward,
2025-11-12T18:10:47.947148+00:00,1,1,1,14:cc:20:51:33:ea,30:8c:fb:2f:e4:b2,forward,
2025-11-12T18:10:47.963220+00:00,1,1,1,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,forward,
2025-11-12T18:10:47.969032+00:00,1,1,1,14:cc:20:51:33:ea,d0:52:a8:00:67:5e,forward,
2025-11-12T18:10:50.057055+00:00,1,1,1,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,forward,
2025-11-12T18:10:50.061112+00:00,1,1,1,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,forward,
2025-11-12T18:10:50.065607+00:00,1,1,1,14:cc:20:51:33:ea,e0:76:d0:3f:00:ae,forward,
2025-11-12T18:10:50.069487+00:00,1,1,1,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,forward,
2025-11-12T18:10:50.077241+00:00,1,1,3,14:cc:20:51:33:ea,70:ee:50:18:34:43,forward,
2025-11-12T18:10:50.080301+00:00,1,1,1,14:cc:20:51:33:ea,e0:76:d0:3f:00:ae,forward,
2025-11-12T18:10:51.361463+00:00,1,1,1,14:cc:20:51:33:ea,e0:76:d0:3f:00:ae,forward,
2025-11-12T18:10:51.366013+00:00,1,1,1,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,forward,
2025-11-12T18:10:51.369584+00:00,1,1,1,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,forward,
2025-11-12T18:10:51.371148+00:00,1,1,1,14:cc:20:51:33:ea,e0:76:d0:3f:00:ae,forward,
2025-11-12T18:10:51.375079+00:00,1,1,1,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,forward,
2025-11-12T18:10:53.000750+00:00,1,1,1,00:16:6c:ab:6b:88,14:cc:20:51:33:ea,forward,
2025-11-12T18:10:53.163115+00:00,1,1,1,74:c6:3b:29:d7:1d,14:cc:20:51:33:ea,forward,
2025-11-12T18:10:53.170375+00:00,1,1,1,14:cc:20:51:33:ea,00:16:6c:ab:6b:88,forward,
2025-11-12T18:10:53.357292+00:00,1,1,1,14:cc:20:51:33:ea,74:c6:3b:29:d7:1d,forward,
2025-11-12T18:10:53.705926+00:00,1,1,1,f4:f5:d8:d4:eb:12,14:cc:20:51:33:ea,forward,
2025-11-12T18:10:53.884084+00:00,1,1,1,14:cc:20:51:33:ea,f4:f5:d8:d4:eb:12,forward,
2025-11-12T18:11:52.899086+00:00,1,2,28,44:65:0d:56:cc:d3,b4:ce:f6:a7:a3:c2,forward,
2025-11-12T18:11:54.397724+00:00,1,28,2,b4:ce:f6:a7:a3:c2,44:65:0d:56:cc:d3,forward,
2025-11-12T18:11:56.065304+00:00,1,2,25,44:65:0d:56:cc:d3,40:f3:08:ff:1e:da,forward,
2025-11-12T18:11:57.471668+00:00,1,25,2,40:f3:08:ff:1e:da,44:65:0d:56:cc:d3,forward,
2025-11-12T18:11:59.173990+00:00,1,2,13,44:65:0d:56:cc:d3,ec:1a:59:83:28:11,forward,
2025-11-12T18:12:00.362337+00:00,1,13,2,ec:1a:59:83:28:11,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:01.932049+00:00,1,2,10,44:65:0d:56:cc:d3,ec:1a:59:79:f4:89,forward,
2025-11-12T18:12:03.556893+00:00,1,10,2,ec:1a:59:79:f4:89,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:05.213101+00:00,1,2,17,44:65:0d:56:cc:d3,74:6a:89:00:2e:25,forward,
2025-11-12T18:12:06.778339+00:00,1,17,2,74:6a:89:00:2e:25,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:07.862278+00:00,1,2,6,44:65:0d:56:cc:d3,30:8c:fb:2f:e4:b2,forward,
2025-11-12T18:12:09.436282+00:00,1,6,2,30:8c:fb:2f:e4:b2,44:65:0d:56:cc:d3,forward,
2025-11-12T18:12:11.035876+00:00,1,2,31,44:65:0d:56:cc:d3,14:cc:20:51:33:ea,forward,
